公司名称,产品名称,上市年份,上市月份,价格(元),运行内存(GB),存储容量(GB),操作系统,处理器型号,屏幕尺寸(英寸),屏幕分辨率,重量(g),评论人数,评分,电池类型,电池容量
苹果,苹果iPad 2021（64GB/WiFi版）,2021,8,2398,,64,iPadOS 15,苹果 A13,10.2,2160x1620,487,6566,9.4,锂电池,8756
苹果,苹果iPad 2022(64GB/WLAN版),2022,10,3246,,64,iPadOS 16,Apple A14,10.9,2360x1640,477,479,9.8,聚合物锂电池,7729
苹果,苹果iPad mini 6（64GB/WiFi版）,2021,9,3799,,64,iPadOS 15,苹果 A15,8.3,2266x1488,293,2931,9.4,聚合物锂电池,5216
苹果,苹果iPad Air 5（64GB/WiFi版）,2022,3,4399,8,64,iPadOS 15,Apple M1,10.9,2360x1640,461,1321,9.6,聚合物锂电池,7730
苹果,苹果iPad Pro 11英寸 2022(8GB/128GB/WLAN版),2022,10,6399,8,128,iPadOS 16,Apple M2,11,2388x1668,466,1017,9.8,聚合物锂电池,7743
苹果,苹果iPad 2020(128GB/WLAN版),2020,9,2999,,128,iPadOS 14,苹果 A12,10.2,2160x1620,490,1320,9.5,聚合物锂电池,
苹果,苹果iPad Pro 12.9英寸 2022(8GB/128GB/WLAN版),2022,10,9299,8,128,iPadOS 16,Apple M2,12.9,2732x2048,682,33,10,聚合物锂电池,11048
苹果,苹果新款iPad mini 2019（64GB/WLAN版）,2019,3,2749,,64,iOS,苹果 A12,7.9,2048x1536,300.5,2214,9.2,聚合物锂电池,5162
苹果,苹果10.9英寸iPad Air 2020(64GB/WLAN版),2020,10,4799,,64,iPadOS 14,苹果 A14,10.9,2360x1640,458,4883,9.5,聚合物锂电池,
苹果,苹果iPad Pro 11英寸 2021(8GB/128GB/WLAN版),2021,5,6199,8,128,iPadOS 14,Apple M1,11,2388x1668,466,6560,9.7,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2021(8GB/128GB/WLAN版),2021,5,8499,8,128,iPadOS 15,Apple M1,12.9,2732x2048,682,1745,9.6,聚合物锂电池,11048
苹果,苹果新iPad Pro 12.9英寸（64GB/WLAN）,2018,10,7399,,64,iOS 12.1,苹果 A12X,12.9,2732x2048,631,207,9.9,聚合物锂电池,9921
苹果,苹果iPad 2022(256GB/WLAN版),2022,10,4398,,256,iPadOS 16,Apple A14,10.9,2360x1640,477,479,9.8,聚合物锂电池,7729
苹果,苹果iPad Pro 11英寸 2020(128GB/WLAN版),2020,3,6229,,128,,苹果 A12Z,11,2388x1688,471,1046,9,聚合物锂电池,7743
苹果,苹果iPad Pro 12.9英寸 2022(16GB/2TB/Cellular版),2022,10,18999,16,2048,iPadOS 16,Apple M2,12.9,2732x2048,684,19,10,聚合物锂电池,11048
苹果,苹果iPad 2021（256GB/WiFi版）,2021,9,3698,,256,iPadOS 15,苹果 A13,10.2,2160x1620,487,6566,9.4,锂电池,8756
苹果,苹果10.5英寸iPad Air（64GB/WiFi版）,2019,3,3896,,64,iOS12,苹果 A12,10.5,2224x1668,456,21,9.2,聚合物锂电池,8162
苹果,苹果iPad Air 5（64GB/蜂窝网络版）,2022,3,5499,8,64,iPadOS 15,Apple M1,10.9,2360x1640,462,1321,9.6,聚合物锂电池,7729
苹果,苹果iPad mini 6（64GB/蜂窝网络版）,2021,9,4999,,64,iPadOS 15,苹果 A15,8.3,2266x1488,297,2931,9.4,聚合物锂电池,5216
